case_folding,tokenizing
tan mar buzzerrp paslon no sudah kehabisan akal &amp  narasi untuk serang anies  makanya pakai methode fitnah recehan,"['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'kehabisan', 'akal', '&', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'recehan']"
anies membangun jakarta yang lebih berkelanjutan  ramah lingkungan dan memastikan bahwa pertumbuhan kota memberikan manfaat bagi seluruh warga,"['anies', 'membangun', 'jakarta', 'yang', 'lebih', 'berkelanjutan', 'ramah', 'lingkungan', 'dan', 'memastikan', 'bahwa', 'pertumbuhan', 'kota', 'memberikan', 'manfaat', 'bagi', 'seluruh', 'warga']"
andre rosiade janji sdh tdk ditunaikan tdk nyapres selama masa  aniesbaswedan jabat gub  dki kalau sdh selesai ya selesailah janjinya  mission accomplished smp kpn pak anies boleh nyapres kl tiap priode  prabowo kalah terus &amp  nyapres terus  etika koyol  tau,"['andre', 'rosiade', 'janji', 'sdh', 'tdk', 'ditunaikan', 'tdk', 'nyapres', 'selama', 'masa', 'aniesbaswedan', 'jabat', 'gub', 'dki', 'kalau', 'sdh', 'selesai', 'ya', 'selesailah', 'janjinya', 'mission', 'accomplished', 'smp', 'kpn', 'pak', 'anies', 'boleh', 'nyapres', 'kl', 'tiap', 'priode', 'prabowo', 'kalah', 'terus', '&', 'amp', 'nyapres', 'terus', 'etika', 'koyol', 'tau']"
geloraco foodeatate gagal pesawat tempur rongsokan  hutang kemenhan trilyunan adalah bentuk kebengisan pada juta lebih rakyat indonesia  saya sarankan tim tkn tolong banyak bercermin sebelum menyerang pak anies  akhlak kalian sudah pada benar ya,"['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsokan', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'kebengisan', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'sarankan', 'tim', 'tkn', 'tolong', 'banyak', 'bercermin', 'sebelum', 'menyerang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'ya']"
yogi bubu  masakanrasako ga bang aman  anies pernah tegor rijik suruh bayar denda kok waktu buat kerumunan pas covid itu buktinya,"['yogi', 'bubu', 'masakanrasako', 'ga', 'bang', 'aman', 'anies', 'pernah', 'tegor', 'rijik', 'suruh', 'bayar', 'denda', 'kok', 'waktu', 'buat', 'kerumunan', 'pas', 'covid', 'itu', 'buktinya']"
do adoo  qronoz gw lagi gak bahas dki  setelah debat  jujur gw udah melunak sama anies dan siap menerima kemungkinan dia jadi presiden gw ngomong gitu setelah baca ttg berita kontrak politik anyway  seperti di twit awal gw  dki  negara,"['do', 'adoo', 'qronoz', 'gw', 'lagi', 'gak', 'bahas', 'dki', 'setelah', 'debat', 'jujur', 'gw', 'udah', 'melunak', 'sama', 'anies', 'dan', 'siap', 'menerima', 'kemungkinan', 'dia', 'jadi', 'presiden', 'gw', 'ngomong', 'gitu', 'setelah', 'baca', 'ttg', 'berita', 'kontrak', 'politik', 'anyway', 'seperti', 'di', 'twit', 'awal', 'gw', 'dki', 'negara']"
indra kurnia  prabusantoso sobat anies  partaisocmed iya  tapi kok disurvey  kok bisa unggul ya,"['indra', 'kurnia', 'prabusantoso', 'sobat', 'anies', 'partaisocmed', 'iya', 'tapi', 'kok', 'disurvey', 'kok', 'bisa', 'unggul', 'ya']"
ch chotimah  buni yani mengatakan yang memotong video pidato ahok adalah tim cybernya prabowo  jadi ketimbang anies yg tak punya masa  maka yg lebih bertanggungjawab seharusnya prabowo yg menggerakan kelompok brutal,"['ch', 'chotimah', 'buni', 'yani', 'mengatakan', 'yang', 'memotong', 'video', 'pidato', 'ahok', 'adalah', 'tim', 'cybernya', 'prabowo', 'jadi', 'ketimbang', 'anies', 'yg', 'tak', 'punya', 'masa', 'maka', 'yg', 'lebih', 'bertanggungjawab', 'seharusnya', 'prabowo', 'yg', 'menggerakan', 'kelompok', 'brutal']"
muhammad saewad la emang pengusung anies pkb nasdem oposisi,"['muhammad', 'saewad', 'la', 'emang', 'pengusung', 'anies', 'pkb', 'nasdem', 'oposisi']"
bukanbuzzerrp  partaisocmed buzzer anies yang follower ribuan juga klo tweet di bayar ya,"['bukanbuzzerrp', 'partaisocmed', 'buzzer', 'anies', 'yang', 'follower', 'ribuan', 'juga', 'klo', 'tweet', 'di', 'bayar', 'ya']"
tidak bicara sesuai fakta  anies dengan lantang sebut lampung tidak mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
