formalization,stopword_removal
"['saludosparatii', 'fullmoonfolks', 'sudah', 'rahasia', 'umum', 'lah', 'tidak_perlu', 'tutup', 'bagaimana', 'anies', 'nikmat', 'politik', 'identitas', 'ini', 'dia', 'betul', 'betul', 'ambil', 'untung']",saludosparatii fullmoonfolks rahasia tidak perlu tutup anies nikmat politik identitas ambil untung
"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'aamiin', 'janji', 'kita', 'ukur']",anies baswedan tuding capres janji timnas aamiin janji ukur
"['raden', 'mas', 'budi', 'heraloebss', 'hanya', 'orang', 'cerdas', 'yang', 'paham', 'apa', 'yang', 'sampai', 'pak', 'anies', 'tapi', 'kalau', 'otak', 'cetek', 'males', 'mikir', 'pasti', 'nilai', 'njelimet']",raden mas budi heraloebss orang cerdas paham anies otak cetek males mikir nilai njelimet
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih
"['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih
"['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'habis', 'akal', '', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'receh']",tan mar buzzerrp paslon no habis akal  amp narasi serang anies pakai methode fitnah receh
"['anies', 'bangun', 'jakarta', 'yang', 'lebih', 'lanjut', 'ramah', 'lingkung', 'dan', 'pasti', 'bahwa', 'tumbuh', 'kota', 'beri', 'manfaat', 'bagi', 'seluruh', 'warga']",anies bangun jakarta ramah lingkung tumbuh kota manfaat warga
"['andre', 'rosiade', 'janji', 'sdh', 'tidak', 'tunai', 'tidak', 'nyapres', 'lama', 'masa', 'aniesbaswedan', 'jabat', 'gub', 'dki', 'kalau', 'sdh', 'selesai', 'iya', 'selesai', 'janji', 'mission', 'accomplished', 'smp', 'kapan', 'pak', 'anies', 'boleh', 'nyapres', 'kalau', 'tiap', 'priode', 'prabowo', 'kalah', 'terus', '', 'amp', 'nyapres', 'terus', 'etika', 'koyol', 'tahu']",andre rosiade janji sdh tunai nyapres aniesbaswedan jabat gub dki sdh selesai iya selesai janji mission accomplished smp anies nyapres priode prabowo kalah  amp nyapres etika koyol
"['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'bengis', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'saran', 'tim', 'tkn', 'tolong', 'banyak', 'cermin', 'belum', 'serang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'iya']",geloraco foodeatate gagal pesawat tempur rongsok hutang kemenhan trilyunan bentuk bengis juta rakyat indonesia saran tim tkn tolong cermin serang anies akhlak iya
"['yogi', 'tidur', 'masakanrasako', 'tidak_bang', 'aman', 'anies', 'pernah', 'tegor', 'rijik', 'suruh', 'bayar', 'denda', 'kok', 'waktu', 'buat', 'kerumun', 'pas', 'covid', 'itu', 'bukti']",yogi tidur masakanrasako tidak bang aman anies tegor rijik suruh bayar denda kerumun pas covid bukti
"['do', 'adoo', 'qronoz', 'saya', 'lagi', 'tidak_bahas', 'dki', 'telah', 'debat', 'jujur', 'saya', 'sudah', 'lunak', 'sama', 'anies', 'dan', 'siap', 'terima', 'mungkin', 'dia', 'jadi', 'presiden', 'saya', 'bicara', 'gitu', 'telah', 'baca', 'tentang', 'berita', 'kontrak', 'politik', 'anyway', 'seperti', 'di', 'twit', 'awal', 'saya', 'dki', 'negara']",do adoo qronoz tidak bahas dki debat jujur lunak anies terima presiden bicara gitu baca berita kontrak politik anyway twit dki negara
"['indra', 'kurnia', 'prabusantoso', 'sobat', 'anies', 'partaisocmed', 'iya', 'tapi', 'kok', 'disurvey', 'kok', 'bisa', 'unggul', 'iya']",indra kurnia prabusantoso sobat anies partaisocmed iya disurvey unggul iya
"['ch', 'chotimah', 'buni', 'yani', 'kata', 'yang', 'potong', 'video', 'pidato', 'ahok', 'adalah', 'tim', 'cybernya', 'prabowo', 'jadi', 'ketimbang', 'anies', 'yang', 'tidak_punya', 'masa', 'maka', 'yang', 'lebih', 'bertanggungjawab', 'harus', 'prabowo', 'yang', 'gera', 'kelompok', 'brutal']",ch chotimah buni yani potong video pidato ahok tim cybernya prabowo ketimbang anies tidak punya bertanggungjawab prabowo gera kelompok brutal
"['muhammad', 'saewad', 'lah', 'emang', 'usung', 'anies', 'pkb', 'nasdem', 'oposisi']",muhammad saewad emang usung anies pkb nasdem oposisi
"['bukanbuzzerrp', 'partaisocmed', 'buzzer', 'anies', 'yang', 'follower', 'ribu', 'juga', 'kalau', 'tweet', 'di', 'bayar', 'iya']",bukanbuzzerrp partaisocmed buzzer anies follower ribu tweet bayar iya
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih
"['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih
"['chadlvn', 'arsipaja', 'anies', 'bagus', 'sebenarnya', 'itu', 'kunci', 'sih', 'kakak', 'yang', 'belakang', 'juga', 'tidak_bisa', 'apa', 'masuk', 'kecuali', 'kalau', 'aniesnya', 'yang', 'busuk', 'baru', 'bahaya', 'kalau', 'presiden', 'sekarang', 'saya', 'tidak_berani', 'komen', 'yang', 'kasar', 'khawatir', 'kenapa']",chadlvn arsipaja anies bagus kunci sih kakak tidak bisa masuk kecuali aniesnya busuk bahaya presiden tidak berani komen kasar khawatir
"['bospurwa', 'tidak_layak', 'jadi', 'presiden', 'pantesan', 'tidak_pernah', 'menang', 'dulu', 'saya', 'dukung', 'karena', 'hanya', 'pilih', 'sekarang', 'anies', 'paling', 'layak', 'dari', 'semua']",bospurwa tidak layak presiden pantesan tidak pernah menang dukung pilih anies layak
"['taufikrendusara', 'dulu', 'sih', 'kali', 'milih', 'dia', 'sekarang', 'sih', 'sudah', 'makin', 'yakin', 'pilih', 'anies']",taufikrendusara sih kali milih sih pilih anies
"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'aamiin', 'janji', 'kita', 'ukur']",anies baswedan tuding capres janji timnas aamiin janji ukur
"['anies', 'baswedan', 'tuding', 'capres', 'banyak', 'janji', 'timnas', 'aamiin', 'janji', 'kita', 'ukur']",anies baswedan tuding capres janji timnas aamiin janji ukur
"['wkwkwk', 'dukung', 'anies', 'seperti', 'gin']",wkwkwk dukung anies gin
"['vivacoid', 'waktu', 'debat', 'perdana', 'pak', 'anies', 'tunjuk', 'bagai', 'politis', 'yang', 'intelek', 'dengan', 'setel', 'jas', 'dan', 'peci']",vivacoid debat perdana anies politis intelek setel jas peci
