formalization,stopword_removal
"['ahy', 'instruksi', 'ke', 'seluruh', 'kader', 'demokrat', 'menang', 'prabowo', 'di', 'pilpres', 'joy', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy instruksi kader demokrat menang prabowo pilpres joy agusyudhoyono pdemokrat demokrat bareng ahy
"['goaticid', 'partaisocmed', 'prabowo', 'panggil', 'memed', 'sekarang']",goaticid partaisocmed prabowo panggil memed
"['digifeeder', 'prabowo', 'gibran', 'tweet', 'gerindra', 'alextham', 'bengkeldodo', 'bentangnegeri', 'xquitavee', 'iamlogan', 'rojeoz', 'raden', 'wijaya', 'sosok', 'capres', 'lucu', 'yang', 'beri', 'riang', 'gembira', 'kepada', 'masyarakat']",digifeeder prabowo gibran tweet gerindra alextham bengkeldodo bentangnegeri xquitavee iamlogan rojeoz raden wijaya sosok capres lucu riang gembira masyarakat
"['aduh', 'hobi', 'ko', 'julurin', 'lidah', 'si', 'pak', 'kalau', 'calon', 'pimpin', 'itu', 'hobi', 'julurin', 'tangan', 'bantu', 'anak', 'bangsa', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",aduh hobi ko julurin lidah si calon pimpin hobi julurin tangan bantu anak bangsa gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo
"['chaves', 'prabowo', 'tidak_perlu', 'ikut', 'debat', 'lah', 'ikut', 'cerdas', 'cermat', 'saja']",chaves prabowo tidak perlu debat cerdas cermat
"['ahy', 'minta', 'kader', 'panas', 'mesin', 'partai', 'menang', 'prabowo', 'pada', 'pilpres', 'odd', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy kader panas mesin partai menang prabowo pilpres odd pdemokrat agusyudhoyono demokrat bareng ahy
"['kalau', 'ini', 'mah', 'tidak_bagi', 'bagi', 'bansos', 'nama', 'pak', 'tapi', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",mah tidak bagi bansos nama kampanye sponsor negera gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo
"['tvonenews', 'heuheu', 'serang', 'prabowo', 'pakai', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'perintah', 'oposisi', 'ndasmu', 'broo']",tvonenews heuheu serang prabowo pakai oposisi partai koalisi perintah oposisi ndasmu broo
"['ahy', 'instruksi', 'kader', 'demokrat', 'menang', 'prabowo', 'di', 'pilpres', '', 'ij', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy instruksi kader demokrat menang prabowo pilpres  ij pdemokrat agusyudhoyono demokrat bareng ahy
"['andre', 'rosiade', 'emang', 'capres', 'bodoh', 'prabowo', 'ini', 'tinggal', 'jawab', 'saja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'tolak', 'lupa']",andre rosiade emang capres bodoh prabowo tinggal nyelesaikan engga bintangaryagun tolak lupa
